"","enj_swip","gender","orientation","rel_status","da_usage","y_single","rec_friend","met_online","dates","pay","picky","body_types","rate_yourself","snap_easy","snap_time","snap_dating","insta_easy","insta_time","insta_dating","tik_easy","tik_time","tik_dating","tin_easy","tin_time","tin_dating","hin_easy","hin_time","hin_dating","bum_easy","bum_time","bum_dating","con_level"
"94","No","Male","gay_lesbian","InRelation","User",NA,"No","Offline","Male","Split","Women","Mesomorph",6,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,"low"
"95","No","Male","bi","InRelation","User",NA,"Yes","Online","Male","Male","Women","Endomorph",6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"96","No","Female","straight","Single","NonUser","doesnt_want","No",NA,"Female","Split","Women","Mesomorph",4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"97","No","Female","straight","Single","NonUser","doesnt_want","No",NA,"Male","Male","Men","Mesomorph",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"98","No","Female","bi","InRelation","NonUser",NA,"Yes","Offline","Female","Split","Women","Endomorph",6,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"99","Yes","Female","straight","Single","User","doesnt_want","No",NA,"Male","Split","Women","Mesomorph",3,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,"low"
"100","No","Female","straight","Single","NonUser","cant_find","Yes",NA,"Female","Male","Women","Endomorph",6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"low"
"101","No","Female","straight","Single","NonUser","cant_find","No",NA,"Female","Male","Men","Ectomorph",4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"low"
"102","No","Female","straight","Single","NonUser","cant_find","No",NA,"Equal","Male","Men","Endomorph",6,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"low"
"103","No","Male","straight","InRelation","NonUser",NA,"Yes","Online","Equal","Split","Equal","Triangle",6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"low"
"104","Yes","Female","straight","InRelation","User",NA,"Yes","Offline","Male","Male","Women","Ectomorph",8,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,"high"
"105","No","Female","straight","Single","NonUser","cant_find","Yes",NA,"Male","Split","Women","Mesomorph",10,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"high"
"106","Yes","Male","straight","Single","NonUser","cant_find","Yes",NA,"Equal","Male","Equal","Hour Glass",8,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"high"
"107","No","Female","straight","Single","NonUser","doesnt_want","No",NA,"Equal","Male","Equal","Mesomorph",5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"low"
"108","Yes","Female","gay_lesbian","Single","User","doesnt_want","No",NA,"Female","Male","Women","Rectangle",7,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,"high"
